港台澳,#genre#
TVB Plus,http://50.7.234.10:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://50.7.234.10:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
TVB Plus,https://stream1.freetv.fun/tvb-j2-1.m3u8
TVB Plus,http://50.7.234.10:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
TVB Plus,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah007-golive.flv



天映经典,http://50.7.234.10:8278/Celestial2/playlist.m3u8?tid=MD4D4914978049149780&ct=19955&tsum=f559497d6460d2c46621e285faa7cad4


EBC东森超视HD,rtmp://f13h.mine.nu/sat/tv331

唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/chunklist_w1177047531.m3u8

番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8?blog.ntnas.top
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯111,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8

生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8


新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd

有线财经资讯,http://61.10.2.145/live_freedirect/freehd208_h.live/chunklist.m3u8

环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8

香港国际财经,http://61.10.2.140/live_freedirect/opentvhd002_h.live/playlist.m3u8

GOODTV好消息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8

GOOD2TV,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-2.m3u8

耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8

无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn


台视HD,rtmp://f13h.mine.nu/sat/tv071
台视HD,rtmp://f13h.mine.nu:1935/sat/tv071

民视,rtmp://f13h.mine.nu/sat/tv051
民视,rtmp://f13h.mine.nu:1935/sat/tv051

华视HD,rtmp://f13h.mine.nu:1935/sat/tv111
华视HD,rtmp://f13h.mine.nu/sat/tv111

中视HD,rtmp://f13h.mine.nu/sat/tv091

TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8


广东综合,#genre#
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8

广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen

广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=7e9bddad7c8911626ed1d2c09fc605d9&txTime=18d00acf487
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi

广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州法治,http://tencentplaygzrb01.gztv.com/live/fazhi.m3u8

广州南国,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8

东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh

东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx

佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh

番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8?_upt=f767206b1671099007

河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8?zguangd

韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8?zguangd

广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj

惠来综合,http://119.140.58.125:4434/hls/4/index.m3u8

惠来综合,http://113.64.146.6:2024/hls/3/index.m3u8

CR,#genre#

花花公子频道壹,http://live.redtraffic.xyz/anal.m3u8
花花公子频道贰,http://cdn.adultiptv.net/anal.m3u8
Asian,http://live.redtraffic.xyz/asian.m3u8
菊花台壹,http://cdn.adultiptv.net/asian.m3u8
菊花台贰,http://live.redtraffic.xyz/bigass.m3u8
花花公子叁台,http://cdn.adultiptv.net/bigass.m3u8
BigAss,http://live.redtraffic.xyz:80/bigass.m3u8
菊花叁台,http://live.redtraffic.xyz/bigdick.m3u8

驚艷,https://ppt.cc/fmpKVx
潘朵拉完美,https://ppt.cc/fgXIWx
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
极限,http://pull-skycorp.speedws.com:80/live/51c0b0a02923d2352346c3a27adb0096.flv
happy,http://pull-skycorp.speedws.com:80/live/1fcbd2acce3777f488bf31917ba1f7a9.flv
香蕉,http://pull-skycorp.speedws.com:80/live/30eee6f0603f097c0bc62049fa6af1b7.flv
惊艳,http://pull-skycorp.speedws.com:80/live/8f2565ee325cb612e545c88f74a38158.flv
潘多拉,http://pull-skycorp.speedws.com:80/live/7f92f24c7097a5cba5f1232136681a3a.flv
彩虹电影,http://pull-skycorp.speedws.com:80/live/53acf537c23830719bacf6a0cf5ab722.flv
彩虹k,http://pull-skycorp.speedws.com:80/live/4f7cb45a62f2c165ffea4b66c1f2ecff.flv
彩虹e,http://pull-skycorp.speedws.com:80/live/ae156da941cdb8154492751c3477359e.flv

驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
香蕉 http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3台http://15.204.105.50:25461/live-G2s9zK2n9m/xDtwVfWM8T/90.ts

惊艳,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵啦,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
彩虹,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松1,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松2,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松3,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts

1,https://s.oxax.tv/QKOU9zVc-_JSLvlb92sMhw/6/1764660250/index.m3u8
2,https://s.oxax.tv/qisDGXrv9hzQ2P0sw4iy3g/3/1764672904/index.m3u8
3,https://s.oxax.tv/09BLdTMSXVFQMQ39xgTVjw/50/1764672936/index.m3u8
4,https://s.oxax.tv/F-R0FBj-RhkaK3XMNpU1XQ/6/1764673030/index.m3u8
5,https://s.oxax.tv/LYYr3yLOOqDVa6LqMPzCOw/59/1764673093/index.m3u8
6,https://s.oxax.tv/LYYr3yLOOqDVa6LqMPzCOw/59/1764673093/index.m3u8
7,https://s.oxax.tv/NvHpBRiZtopY0HCnEmHksA/19/1764673145/index.m3u8

惊艳,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts

潘朵拉,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
松视3台,http://hls-pull-wicketpw.speedws.com:80/live/b7f8072f12c4442868b855106650acf9.flv
松视3台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
松视3台,http://iptv.4666888.xyz/iptv.php?id=20145

Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8

Dorcel,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8

Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8

Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8

EroxHD,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8

Leo HD,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8


MY☀港色#genre#
魂玉,https://hd.ijycnd.com/play/QdJqQ0ob/index.m3u8
淫乱人间,https://yzzy.play-cdn14.com/20230715/29635_6f025e2a/index.m3u8
春宫豪放女,https://cdn14.yzzy-dy-cdn.com/20230812/31319_c22431b9/index.m3u8
春宫妖姬,https://yzzy.play-cdn14.com/20230621/26931_f06631ae/index.m3u8
红楼18春,https://hd.ijycnd.com/play/QbYGwpez/index.m3u8#https://jpzy01.com/20230105/NDbZf3ps/index.m3u8
镜花风月之螺女挑情,https://hd.ijycnd.com/play/PdRgXDVe/index.m3u8
处女思春,https://cdn.wlcdn99.com:777/20220526/wUBhhJGI/2000kb/hls/index.m3u8
轻轻的第一次,https://jpzy01.com/20230503/1cCkbjcE/1000kb/hls/index.m3u8
都是匋宏惹的祸,https://bfikuncdn.com/20240425/t9snRY2q/2000kb/hls/index.m3u8
星路梦回,https://bfikuncdn.com/20240423/sE9FUTu9/2000kb/hls/index.m3u8
欲火雄风龙凤配,https://bfikuncdn.com/20240423/wn6CjpAM/2000kb/hls/index.m3u8
天边一朵云,https://ukzyll.ukubf6.com/20220706/IDF6m8YC/2000kb/hls/index.m3u8
北投狼人,https://ukzyll.ukubf6.com/20220706/IDF6m8YC/2000kb/hls/index.m3u8
化骨棉掌,https://vv.jisuzyv.com/play/zbq6VBpd/index.m3u8
色欲档案之麻雀台上淫,https://vod11.wgslsw.com/20240413/mPdnvTK2/index.m3u8
星路梦回,https://bfikuncdn.com/20240423/sE9FUTu9/2000kb/hls/index.m3u8
激情边缘,https://cdn.wlcdn99.com:777/20220526/vRuxFiP3/2000kb/hls/index.m3u8
叛客与雷鬼,https://vod11.wgslsw.com/20240413/uKXqj2F5/index.m3u8
情定北海岸,https://v.ykv3.com/20230519/svHVTvdc/1000kb/hls/index.m3u8
恶夜,https://player.cl9987.com:188/20230409/kTeoSh9w/2000kb/hls/index.m3u8
隔世吸引力,https://cdn.wlcdn99.com:777/20220526/Dmt5TkE8/index.m3u8
美丽的杀手,https://vod11.wgslsw.com/20240413/Y64XRP7r/index.m3u8
欲火狂情,https://jpzy01.com/20240617/0hX4bLa4/3869kb/hls/index.m3u8
唇香.体香.女人香,https://ukzyll.ukubf6.com/20220615/7QyPrrZ4/2000kb/hls/index.m3u8
枪下新娘,https://vod11.wgslsw.com/20240413/SMo8cYau/index.m3u8
困着她的心灵,https://vod11.wgslsw.com/20240413/VQsRVkll/index.m3u8
占有欲强的女人,https://vod11.wgslsw.com/20240413/h8sbinOI/index.m3u8
追你一世,https://vod11.wgslsw.com/20240413/vbIonnAi/index.m3u8
午夜叫声,https://vod11.wgslsw.com/20240413/IqaxkjFG/index.m3u8
脱轨边缘人,https://ukzyll.ukubf6.com/20220528/woEv6Q0L/2000kb/hls/index.m3u8
山庄情挑,https://vod11.wgslsw.com/20240413/cdGDaZ0F/index.m3u8
造爱人间,https://vod11.wgslsw.com/20240413/cdGDaZ0F/index.m3u8
变身,https://vod11.wgslsw.com/20240413/7zBawDWh/index.m3u8
危情杀机,https://ukzyll.ukubf6.com/20220528/0I2i37Pd/2000kb/hls/index.m3u8
欲海双艳,https://bfikuncdn.com/20240423/KYN3UNMr/2000kb/hls/index.m3u8
纵欲聊斋,https://ukzyll.ukubf6.com/20220717/a7JPTuHX/2000kb/hls/index.m3u8
灵山奇谭,https://ukzyll.ukubf6.com/20220717/a7JPTuHX/2000kb/hls/index.m3u8
空虚少妇性告白,https://vod11.wgslsw.com/20240413/UncMrKj6/index.m3u8
桃色交易,https://v.ykv3.com/20240521/xLEy2WWS/1000kb/hls/index.m3u8
野店,https://bfikuncdn.com/20240423/QKJ45DP5/2000kb/hls/index.m3u8
镜花风月之春降,https://bfikuncdn.com/20240423/QKJ45DP5/2000kb/hls/index.m3u8
花女破处实录,https://ukzyll.ukubf6.com/20220615/PtWcgHlT/2000kb/hls/index.m3u8
百合情韵,https://ukzyll.ukubf6.com/20220525/lvkbIXnN/2000kb/hls/index.m3u8
寡妇的男人,https://vod11.wgslsw.com/20240413/zTORtTQC/index.m3u8
性妲己,https://play.hhuus.com/play/1aMXmyPe/index.m3u8
火爆倩女,https://vod11.wgslsw.com/20240413/GEd0CwIy/index.m3u8
武林皇后,https://jpzy01.com/20230213/u8NEqYNY/1000kb/hls/index.m3u8
血泪江湖,https://vod11.wgslsw.com/20240413/qZrPV9gu/index.m3u8
灵与肉,https://vod11.wgslsw.com/20240413/qZrPV9gu/index.m3u8
杏林春暖,https://play.gayzyv.com/play/nelYXxVa/index.m3u8
淫荡书生众美女,https://play.gayzyv.com/play/nelYXxVa/index.m3u8
绝世妖女,https://m3u.nikanba.live/share/43b58cc467de5cff40c1ae5fce26ef1a.m3u8
影子缠身,https://ll.bdzybf11.com/20220404/TT2gcT75/2000kb/hls/index.m3u8
不再情牵,https://v.ykv3.com/20230406/YqXDtu8z/1000kb/hls/index.m3u8
侦探艳史,https://ukzyll.ukubf6.com/20220615/DapSX6Ko/2000kb/hls/index.m3u8
处女奇兵,https://jpzy01.com/20230419/4VRzn3X3/1000kb/hls/index.m3u8
洪晓芸写真,https://jpzy01.com/20230425/N6PaeUMX/1000kb/hls/index.m3u8
大盜情人,https://jpzy01.com/20221218/SLC0mG0K/1000kb/hls/index.m3u8
鼠年12性肖淫程,https://jpzy01.com/20230219/Yq5GEHnY/1000kb/hls/index.m3u8
淫欲女秘书,https://v.ykv3.com/20240521/lFfRxy2B/1000kb/hls/index.m3u8
风情小姨子,https://bfikuncdn.com/20240422/HaCx3UB7/2000kb/hls/index.m3u8
浪漫女家教,https://jpzy01.com/20221230/k0F7eNsD/1000kb/hls/index.m3u8
催眠指令,https://jpzy01.com/20240809/PhsKKUvl/2887kb/hls/index.m3u8
黄色追杀令,https://jpzy01.com/20230106/T4zi4Bj7/1000kb/hls/index.m3u8
杀手情人,https://ll.bdzybf11.com/20220408/RqU24snI/2000kb/hls/index.m3u8
台北强奸春潮,https://play.gayzyv.com/play/BeXDqLoe/index.m3u8
女狱秘闻,https://vod11.wgslsw.com/20240413/kLCCiN0g/index.m3u8
荡女诉心声,https://jpzy01.com/20220529/26Mf7kvk/1000kb/hls/index.m3u8
女鬼丽影,https://jpzy01.com/20230503/fF15eaAN/1000kb/hls/index.m3u8
打山鸡,https://jpzy01.com/20230622/7ALCcm82/1000kb/hls/index.m3u8
色欲野鸳鸯,https://jpzy01.com/20230612/pkOheIEk/1000kb/hls/index.m3u8?
山中艳潭,https://vip.ffzy-play8.com/20230914/1929_4a35a2ea/2000k/hls/mixed.m3u8
亡命霸王花,https://jpzy01.com/20230618/6bTrfQW6/1000kb/hls/index.m3u8
怀香少女,https://vip.ffzy-play8.com/20240620/2805_28c0ebb3/2000k/hls/mixed.m3u8
恶煞生死线,https://jpzy01.com/20230220/iNP8YaB2/1000kb/hls/index.m3u8?
警花玫瑰,https://vip15.play-cdn15.com/20230820/24124_71e1650c/2000k/hls/index.m3u8
葵花宝典,https://jpzy01.com/20230213/Yty5YnPl/1000kb/hls/index.m3u8
欲望街车,https://ukzyll.ukubf6.com/20220530/OfkXaU3C/2000kb/hls/index.m3u8
红粉幽魂,https://jpzy01.com/20240518/UbYpvMNI/1100kb/hls/index.m3u8
灵幻新娘,https://jpzy01.com/20211227/buk5gjdf/800kb/hls/index.m3u8?
渔夫荒淫艳史,https://yzzy.play-cdn14.com/20230702/28058_6bdbe816/2000k/hls/index.m3u8
台湾AN4U美女刘雪嬅写真,https://jpzy01.com/20220124/SlxXmej5/900kb/hls/index.m3u8
色狼传说,https://jpzy01.com/20230505/xZNHaCG4/1000kb/hls/index.m3u8
满床春水,https://jpzy01.com/20230213/VkFliFY2/1000kb/hls/index.m3u8
台湾內衣女孩写真,https://jpzy01.com/20240421/ciky3Gar/1100kb/hls/index.m3u8?
蓬莱仙山写真-夏日玫瑰,https://jpzy01.com/20230626/vILqH6XK/1000kb/hls/index.m3u8
蓬莱仙山写真-夏日玫瑰2,https://jpzy01.com/20230626/4hYahMIm/1000kb/hls/index.m3u8
蓬莱仙山写真-夏日玫瑰3,https://jpzy01.com/20230626/OItHgyRe/1000kb/hls/index.m3u8
蓬莱仙山写真-夏日玫瑰4,https://jpzy01.com/20230626/MAFTOVhW/1000kb/hls/index.m3u8
终极风云,https://v.ykv3.com/20240521/mrbzo6ES/1000kb/hls/index.m3u8
勾魂恶梦,https://f005.paopao.video:443/B20EBA2BFEC71DA3123E87903B3B36B02ECE4E03
野浪花,https://jpzy01.com/20211222/RzkHVbuD/index.m3u8
三奸https://cf005.paopao.video:443/B5AE58AE870ACB3F876096DD76D5285611177118
名妓游江南https://cf005.paopao.video:443/54B8A9B09EFE3102CA59787382F6518EA8A95343
倩女销魂,https://z20241124.com/videos/202411/21/673e65c13276de039d31a55e/233d55/index.m3u8
野火,https://t.sziase.com/movie/20240530c51e91771a2b4926/94182529640.m3u8
浪女迷魂记,https://v2.jegms.com/20221127/meWanQrB/index.m3u8
销魂玉
邪咒
水儿武士
色欲狂徙,https://v3.nfm3u8.com/20230529/mpoJFtuk/1100kb/hls/index.m3u8
色欲野鸳鸯,https://v3.nfm3u8.com/20230529/g02Dx5q8/index.m3u8
赶尸艳谈,https://hot.1080pzy.co/20230918/MvKEk33R/1000kb/hls/index.m3u8#https://t.sziase.com/movie/20240530346260ea0b394646/07506273640.m3u8
飞凤春宵,https://t.sziase.com/movie/20240530ae7bc7f1e7e240e4/57152062.m3u8
舞会,https://t.sziase.com/movie/20240530ef5c3294e27b489a/38965938.m3u8
男偷情女出墙,https://t.sziase.com/movie/202405307130777782dd4a29/74212985.m3u8
撞够本,https://ts.onlineesense.com/movie/2024053086cc4ff681554ea6/36072283720.m3u8
冤女复仇,https://t.sziase.com/movie/202405302866559936114dee/61569130.m3u8
倩女性花开,https://t.sziase.com/movie/2024053006372988b9da4abf/93708663.m3u8
七仙女思春,https://t.sziase.com/movie/20240530e4624c5e1da347b7/80503818.m3u8
血恋,https://t.sziase.com/movie/202405303e388260e06d47f9/93370852.m3u8
山中艳谭,https://v8.tlkqc.com/wjv8/202310/10/hLztMZdFui1/video/index.m3u8#https://vod11.wgslsw.com/20240413/64Du35S7/index.m3u8
醉后的玫瑰,https://v8.fentvoss.com/sdv8/202310/06/iA8QfVnE8U1/video/index.m3u8
红楼春梦,https://jpzy01.com/20230217/bxiNUdqO/index.m3u8
茜长的女儿,https://jpzy01.com/20240613/bqp9M9T6/index.m3u8
赶尸艳谭,https://jpzy01.com/20211219/dSwaLrCK/index.m3u8
淫童
前世情迷,https://jpzy01.com/20230101/PUXaWyBh/index.m3u8
留住真情,https://jpzy01.com/20230106/JDeeat2r/index.m3u8#https://ckzy1com.com/20230106/JDeeat2r/1000kb/hls/index.m3u8
淫贱女帝武则天,https://t.sziase.com/movie/20240530e76f52c302c24423/25464884.m3u8
茶山春色,https://ckzy1com.com/20221217/XitsTZMj/index.m3u8

CR1,#genre#
Zoom tv,http://185.236.229.62:9981/play/a02a
三奸,https://cf005.paopao.video:443/B5AE58AE870ACB3F876096DD76D5285611177118
留住真情,https://ckzy1com.com/20230106/JDeeat2r/1000kb/hls/index.m3u8
武则天,https://ckzy1com.com/20221217/r8OKLHTx/index.m3u8
carib363西川,https://fc.maa1808.com/b/ravxbmkthk/ravxbmkthk.m3u8
Kpop Girl Does Porn,http://60106.vod.redtraffic.xyz/ph568fdb5194a8b/play.m3u8 
コスプレアイドルに,https://cf005.paopao.video:443/9C3C292CD89D64F2E8A14717A50881B08E7105B9
JOA,https://2.ddyunbo.com/20190914/vL0TDJOa/index.m3u8
1pon081712k,https://f005.paopao.video:443/C6AF681FDD0B9D9BFF8150630F0E1B56CF491DCD
012823_001-1pon,https://f005.paopao.video:443/375BCA6C2E5BF6817E6778681D6535B5FE8318E7
日本映画専門,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs23&isp=10&bind=0&uin=159413&playseek=0
Kpop Girl Does Porn,http://60106.vod.redtraffic.xyz/ph568fdb5194a8b/play.m3u8 
1pon_川原みのりエンドレスセックス,https://vip3.lbbf9.com/20220113/subsDqjy/1000kb/hls/index.m3u8
1pon113017_612市来美保究極マゾ,https://www.lbbf9.com/20210617/BQKojYIM/700kb/hls/index.m3u8
1pon113017_612市来美保究極マ,https://www.lbbf9.com/20210617/ox8fTZKt/700kb/hls/index.m3u8
1pon061110_854,https://www.lbbf9.com/20200521/p3mHHHdx/700kb/hls/index.m3u8
1pon_川原みのりエンドレスセックス,https://vip3.lbbf9.com/20220113/subsDqjy/1000kb/hls/index.m3u8
1pon113017_612市来美保究極マゾ,https://www.lbbf9.com/20210617/BQKojYIM/700kb/hls/index.m3u8
1pon113017_612市来美保究極マゾ,https://www.lbbf9.com/20210617/ox8fTZKt/700kb/hls/index.m3u8
1pon061110_854,https://www.lbbf9.com/20200521/p3mHHHdx/700kb/hls/index.m3u8
1pon_北条麻妃美痴女,https://vip3.lbbf9.com/20220109/mTNDPovo/1000kb/hls/index.m3u8
面具,https://f005.paopao.video:443/18E688416EB56BE25C14D5BD5E4A3F7E4193BE4C
0227 0258,https://cf005.paopao.video:443/59EF94373AAD6324AFB818600DE2B058E82D04E0
051911 097,https://cf005.paopao.video:443/06E600E7941DDFD0FD093B847768BBD7582F538B
080916 226,https://f005.paopao.video:443/CD75E5E526B646D2A27F16EF68205796B0A71E20
091413 001,https://f005.paopao.video:443/6E6BC1C84C94FF19E11B24A4DFDA0DBA2B1E86FD
100115 163,https://f005.paopao.video:443/E37C68B7385D180542C83C4BB4C8D8437D299F23
123118 790,https://f005.paopao.video:443/F86A415FAEA74828F696516635216F5B65AD6B4F
390JAC 044,https://f005.paopao.video:443/A7D6AB44EA0FAD936B70AD9632C6BEE666897549
dv1233,https://f005.paopao.video:443/8E2D4FA205372AC60264C65E0C000DCCF27673E5
room009,https://f005.paopao.video:443/673987CA919E2B4D834B88E00CF0EA80D89EBBBC
meyd388,https://f005.paopao.video:443/48F3A7BB4385C062EE5B927F24FA8AA7B1137CBC
sdmf008,https://cf005.paopao.video:443/121DC2092E1EE394639F13CD146FD17FE0F8A397
SMBD115,https://cf005.paopao.video:443/5B62BED84B5207685E62A714C41F7FCE38BDF5C1
SRS039,https://f005.paopao.video:443/4EAB6AC8EDE8BDD80998EEED1B9D4C95DBCC1812
SSNI781,https://f005.paopao.video:443/E4041EBB9AA9E890A920F1B573D5D1485AA08B6E
880652,https://cf005.paopao.video:443/07A92C8D2ABC87F9F9905B9400218AD0BC2318B3
sis0321,https://f005.paopao.video:443/CACF9474997475A5FA022C252B64ED84D7B1A48D
sis0322,https://f005.paopao.video:443/983D96FE18CE10F54F65D92BFAD634D42A619758
7138,https://f005.paopao.video:443/0751117D54D35845129C3DA1131C9228E5996F74
heyzo1031,https://f005.paopao.video:443/0BD73681E256D14FEE871B6B5DC45D2C86DB1F9C
一本道_1,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8
一本道_2,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8
一本道_3,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8
一本道_4,https://vip4.ddyunbo.com/20210208/uWwFdRB7/index.m3u8
一本道_5,https://vip4.ddyunbo.com/20210208/EZRbwZn4/index.m3u8
一本道_6,https://vip4.ddyunbo.com/20210207/Lyhqjp3z/index.m3u8
一本道_7,https://vip4.ddyunbo.com/20210203/DYtc79vE/index.m3u8
一本道_8,https://vip4.ddyunbo.com/20210202/cy0urBhD/index.m3u8
一本道_9,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8
一本道_10,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8
一本道_11,https://vip4.ddyunbo.com/20210202/6wLYbWPq/index.m3u8
一本道_12,https://vip4.ddyunbo.com/20190904/HqGckgKl/index.m3u8
一本道_13,https://vip4.ddyunbo.com/20190904/m94xaoPh/index.m3u8
一本道_14,https://vip4.ddyunbo.com/20190908/1oZ5V2g2/index.m3u8
一本道_15,https://vip4.ddyunbo.com/20190904/wJoZlwtT/index.m3u8
一本道_16,https://vip4.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8
一本道_17,https://vip4.ddyunbo.com/20190908/ETghLd5D/index.m3u8
一本道_18,https://vip4.ddyunbo.com/20190908/zSd2DI9R/index.m3u8
一本道_19,https://vip4.ddyunbo.com/20191007/IFlq5eON/index.m3u8
一本道_20,https://vip4.ddyunbo.com/20190907/PH1oGegu/index.m3u8
一本道_21,https://vip4.ddyunbo.com/20191206/aIGd1S2S/index.m3u8
